mesh_id	n_drugs
C000656924	1
C000711409	5
C531854	2
C535297	1
C535306	1
C535440	1
C535607	2
C535739	1
C535803	1
C535933	2
C535934	1
C535935	2
C536109	1
C536353	1
C536657	1
C536697	1
C536764	1
C536801	3
C537358	1
C537403	1
C537409	1
C537437	2
C537477	2
C537701	2
C537705	3
C537995	3
C538036	2
C538380	1
C562687	1
C562783	3
C563600	1
C564858	2
C566780	1
C567863	2
C580017	1
C580062	4
C580383	1
C585640	3
D000007	1
D000022	3
D000068884	1
D000070607	2
D000070627	2
D000070642	104
D000071057	10
D000071243	7
D000071700	1
D000072661	1
D000072716	107
D000072861	12
D000073376	7
D000073496	4
D000075262	8
D000075363	9
D000077295	4
D000077299	5
D000077733	3
D000079689	23
D000079690	3
D000080365	1
D000080424	64
D000086382	313
D000138	1
D000152	60
D000172	14
D000224	6
D000258	3
D000292	1
D000310	20
D000326	13
D000347	4
D000417	1
D000435	3
D000437	67
D000505	33
D000506	28
D000542	1
D000544	911
D000550	1
D000568	1
D000592	1
D000627	9
D000647	3
D000686	9
D000690	200
D000707	3
D000740	166
D000741	10
D000744	18
D000755	80
D000758	26
D000762	2
D000783	5
D000787	43
D000789	10
D000795	25
D000799	1
D000855	16
D000856	4
D000881	7
D001005	20
D001008	230
D001024	4
D001026	7
D001049	21
D001068	6
D001145	19
D001165	1
D001168	160
D001171	132
D001172	936
D001201	5
D001228	2
D001249	645
D001259	1
D001260	1
D001281	54
D001289	99
D001321	65
D001327	378
D001424	23
D001471	2
D001478	5
D001528	32
D001650	135
D001656	2
D001714	63
D001749	253
D001750	2
D001762	3
D001763	1
D001764	2
D001766	2
D001778	100
D001845	1
D001847	20
D001848	2
D001850	2
D001851	6
D001855	11
D001859	39
D001861	5
D001883	3
D001906	1
D001919	1
D001927	4
D001929	3
D001930	8
D001932	584
D001943	1374
D001987	17
D001989	12
D001997	6
D002032	4
D002056	14
D002062	3
D002100	85
D002177	6
D002189	2
D002239	1
D002276	16
D002289	1013
D002294	2
D002311	6
D002312	7
D002318	211
D002385	3
D002386	17
D002446	21
D002543	11
D002544	5
D002545	243
D002547	3
D002578	5
D002583	141
D002607	17
D002690	1
D002761	1
D002771	1
D002780	1
D002813	4
D002817	5
D002836	74
D002925	3
D003027	11
D003047	2
D003072	177
D003092	21
D003093	324
D003117	5
D003139	7
D003231	2
D003233	43
D003248	27
D003267	57
D003316	1
D003317	2
D003320	6
D003328	9
D003371	35
D003414	3
D003424	317
D003453	2
D003456	1
D003457	1
D003528	3
D003550	139
D003554	1
D003586	8
D003668	5
D003680	3
D003693	3
D003699	12
D003704	55
D003715	14
D003863	288
D003865	145
D003872	5
D003876	241
D003877	11
D003882	12
D003919	3
D003920	436
D003922	281
D003924	1027
D003928	102
D003929	105
D003930	146
D003967	13
D004211	5
D004238	2
D004314	25
D004357	4
D004374	3
D004381	15
D004392	20
D004393	101
D004402	2
D004409	27
D004412	15
D004414	5
D004415	23
D004421	5
D004427	3
D004476	1
D004485	56
D004487	5
D004489	6
D004535	2
D004646	10
D004660	15
D004672	1
D004673	1
D004685	1
D004686	17
D004696	1
D004700	21
D004715	78
D004719	10
D004775	3
D004820	21
D004827	161
D004828	31
D004829	6
D004830	11
D004831	22
D004832	7
D004916	6
D004931	1
D004932	1
D004938	280
D004941	4
D004942	15
D005128	159
D005131	1
D005134	11
D005168	2
D005173	1
D005185	141
D005199	4
D005221	2
D005235	7
D005242	2
D005261	61
D005315	1
D005334	12
D005348	1
D005354	2
D005355	143
D005356	38
D005401	2
D005512	11
D005600	25
D005621	23
D005642	2
D005693	1
D005756	8
D005759	6
D005764	64
D005767	44
D005769	14
D005770	67
D005776	38
D005871	10
D005879	18
D005901	173
D005909	584
D005921	21
D005922	32
D005923	25
D005953	6
D006008	1
D006009	28
D006011	1
D006042	1
D006069	3
D006073	73
D006084	12
D006086	212
D006105	4
D006177	1
D006192	1
D006223	1
D006255	52
D006258	393
D006261	10
D006330	1
D006333	234
D006429	2
D006432	8
D006457	43
D006461	2
D006463	29
D006467	126
D006470	22
D006473	4
D006482	1
D006501	1
D006505	19
D006506	2
D006509	97
D006519	7
D006525	12
D006526	127
D006527	4
D006530	4
D006561	11
D006562	5
D006566	1
D006623	2
D006628	4
D006646	4
D006689	93
D006712	2
D006816	108
D006929	3
D006932	2
D006934	6
D006937	139
D006938	27
D006946	1
D006949	187
D006959	11
D006961	1
D006962	21
D006965	1
D006966	1
D006967	70
D006973	195
D006975	8
D006976	134
D006980	12
D007003	31
D007006	44
D007010	1
D007011	11
D007014	4
D007020	2
D007022	12
D007027	1
D007035	1
D007037	4
D007057	9
D007153	7
D007154	181
D007169	1
D007172	64
D007174	1
D007239	77
D007247	97
D007248	18
D007249	938
D007251	40
D007319	62
D007383	13
D007403	7
D007405	2
D007511	64
D007562	5
D007565	2
D007589	3
D007592	2
D007627	6
D007634	6
D007637	2
D007640	1
D007644	1
D007647	1
D007674	12
D007676	85
D007680	379
D007690	26
D007751	5
D007752	22
D007759	1
D007775	1
D007863	3
D007888	3
D007889	30
D007890	19
D007896	8
D007918	4
D007938	143
D007943	23
D007946	1
D007965	8
D007966	5
D007968	4
D007970	2
D007971	1
D008052	2
D008059	18
D008060	12
D008067	1
D008072	9
D008080	19
D008103	111
D008105	43
D008107	47
D008113	432
D008133	3
D008175	299
D008178	25
D008180	219
D008181	43
D008193	2
D008209	4
D008223	285
D008224	128
D008228	519
D008231	3
D008232	7
D008258	40
D008268	137
D008269	161
D008286	2
D008288	19
D008303	7
D008305	2
D008363	3
D008375	2
D008379	1
D008382	2
D008415	17
D008471	1
D008527	584
D008545	564
D008548	1
D008575	3
D008579	3
D008581	2
D008593	60
D008595	5
D008599	19
D008654	113
D008659	131
D008661	5
D008881	142
D009062	9
D009080	3
D009083	1
D009084	30
D009085	4
D009087	2
D009101	543
D009103	381
D009128	18
D009133	11
D009134	39
D009136	15
D009140	18
D009157	38
D009165	2
D009181	9
D009188	1
D009190	220
D009196	11
D009202	18
D009203	143
D009205	2
D009216	33
D009220	10
D009221	12
D009222	2
D009223	17
D009290	36
D009293	70
D009298	16
D009303	31
D009325	103
D009335	1
D009357	2
D009369	6378
D009372	1
D009393	10
D009394	7
D009396	6
D009400	31
D009404	5
D009421	1
D009422	454
D009437	456
D009442	2
D009447	63
D009456	7
D009471	24
D009472	19
D009497	1
D009503	122
D009542	10
D009634	2
D009765	569
D009771	14
D009902	7
D009999	1
D010001	2
D010003	160
D010012	11
D010013	2
D010018	1
D010022	2
D010024	206
D010026	1
D010033	3
D010051	743
D010144	2
D010145	2
D010149	166
D010182	2
D010188	9
D010190	724
D010195	27
D010243	1
D010262	1
D010300	470
D010391	15
D010392	32
D010411	1
D010412	1
D010437	8
D010493	1
D010505	2
D010518	8
D010523	18
D010534	155
D010661	7
D010698	1
D010787	7
D010850	3
D010911	3
D010916	1
D010927	1
D010930	1
D010939	1
D011008	5
D011014	42
D011041	10
D011085	11
D011087	27
D011111	6
D011115	2
D011141	5
D011164	7
D011183	20
D011218	25
D011225	6
D011271	1
D011293	7
D011305	3
D011349	3
D011371	1
D011470	67
D011471	816
D011472	8
D011507	4
D011536	7
D011537	48
D011546	1
D011552	4
D011565	627
D011595	14
D011618	111
D011625	1
D011628	2
D011629	14
D011649	1
D011654	6
D011655	32
D011697	10
D011818	5
D011832	19
D011928	8
D012003	20
D012010	3
D012038	6
D012080	3
D012120	59
D012127	6
D012128	124
D012131	12
D012141	13
D012148	15
D012163	5
D012164	18
D012170	61
D012173	1
D012174	34
D012178	9
D012208	17
D012220	14
D012221	18
D012279	2
D012393	16
D012398	1
D012400	1
D012497	9
D012507	20
D012509	175
D012512	42
D012514	28
D012516	43
D012552	2
D012559	378
D012595	87
D012628	11
D012735	44
D012774	9
D012778	24
D012798	3
D012852	19
D012859	53
D012871	49
D012872	1
D012874	6
D012878	37
D012893	47
D012899	2
D013035	9
D013036	8
D013106	1
D013119	64
D013123	9
D013130	4
D013167	175
D013203	11
D013226	10
D013274	461
D013276	23
D013280	5
D013281	3
D013290	2
D013313	47
D013345	10
D013494	26
D013514	57
D013584	19
D013586	9
D013588	2
D013610	1
D013617	5
D013625	3
D013661	9
D013683	3
D013708	3
D013716	3
D013724	1
D013736	18
D013771	1
D013789	41
D013915	2
D013919	4
D013921	53
D013922	18
D013924	1
D013927	243
D013945	9
D013953	9
D013964	106
D014012	5
D014029	44
D014103	1
D014123	2
D014245	1
D014256	1
D014277	7
D014328	2
D014355	2
D014376	17
D014402	12
D014406	2
D014424	13
D014456	11
D014523	31
D014526	29
D014545	1
D014549	48
D014552	5
D014555	1
D014565	15
D014581	47
D014605	116
D014625	9
D014627	1
D014647	4
D014652	8
D014657	91
D014689	3
D014693	5
D014717	1
D014777	41
D014808	1
D014820	22
D014839	103
D014842	10
D014890	58
D014898	2
D014901	4
D014923	5
D014929	2
D014945	101
D014947	1
D014983	1
D014987	6
D015004	1
D015043	4
D015140	6
D015179	952
D015209	24
D015210	7
D015211	1
D015212	282
D015228	41
D015266	20
D015267	5
D015270	1
D015275	1
D015325	1
D015352	111
D015356	4
D015419	1
D015423	2
D015427	44
D015430	8
D015432	3
D015433	10
D015451	361
D015461	4
D015464	110
D015470	575
D015477	36
D015490	1
D015518	25
D015526	3
D015535	197
D015595	4
D015658	184
D015673	5
D015715	1
D015783	1
D015794	2
D015817	6
D015831	1
D015837	3
D015862	2
D016055	4
D016066	3
D016262	1
D016393	313
D016399	65
D016403	217
D016410	39
D016411	45
D016464	3
D016472	4
D016481	10
D016491	66
D016511	9
D016518	3
D016532	14
D016537	5
D016538	3
D016543	22
D016553	39
D016557	1
D016584	15
D016657	4
D016706	5
D016736	6
D016738	1
D016739	1
D016751	2
D016849	3
D016878	1
D016889	146
D016908	1
D017099	1
D017180	7
D017204	13
D017240	5
D017241	3
D017250	2
D017253	7
D017285	7
D017492	1
D017497	86
D017511	9
D017563	2
D017590	1
D017674	3
D017676	3
D017681	3
D017719	43
D017728	22
D018058	3
D018149	8
D018192	3
D018222	3
D018242	5
D018278	61
D018295	34
D018307	71
D018316	5
D018325	1
D018352	5
D018357	9
D018358	25
D018442	40
D018459	1
D018589	33
D018746	2
D018778	1
D018798	4
D018805	77
D018883	1
D018917	6
D018979	8
D019121	3
D019142	14
D019190	1
D019247	7
D019337	459
D019449	3
D019559	6
D019578	24
D019636	1
D019650	34
D019867	1
D019873	3
D019896	46
D019955	1
D019966	34
D019969	7
D019970	28
D019973	1
D020018	44
D020031	3
D020152	6
D020158	1
D020159	4
D020162	2
D020163	5
D020165	1
D020176	2
D020177	6
D020178	6
D020192	5
D020194	1
D020196	8
D020246	80
D020249	54
D020250	11
D020275	3
D020277	7
D020278	2
D020294	1
D020301	1
D020329	8
D020345	4
D020388	121
D020391	13
D020521	243
D020522	128
D020528	47
D020529	87
D020739	2
D020754	15
D020767	2
D020786	1
D020788	3
D020820	34
D020914	6
D020918	7
D020920	7
D020961	36
D022124	3
D022861	1
D023903	53
D024821	41
D027601	1
D028226	3
D028227	22
D028361	9
D029241	2
D029242	5
D029424	356
D029481	8
D030361	27
D031249	3
D033581	11
D034381	28
D038261	1
D039141	2
D041441	1
D042882	3
D043183	93
D044148	5
D044903	4
D044968	6
D045169	11
D045464	1
D045602	1
D045743	87
D045745	87
D045823	17
D046152	53
D046351	4
D046589	1
D047748	21
D048550	3
D048909	59
D049288	5
D049950	2
D049970	10
D050031	2
D050151	1
D050171	10
D050197	242
D050723	19
D050724	1
D051359	3
D051437	33
D051474	67
D051799	13
D052016	23
D052018	4
D052120	1
D052245	12
D052256	4
D052456	1
D052801	61
D053159	1
D053201	73
D053306	1
D053549	4
D054058	49
D054066	1
D054078	1
D054179	37
D054198	308
D054403	7
D054429	2
D054559	6
D054973	1
D054990	211
D055371	45
D055496	1
D055501	3
D055623	21
D055728	55
D055752	204
D055948	29
D055953	54
D056587	8
D056650	1
D056693	2
D056735	2
D056769	2
D056770	7
D056806	1
D056807	2
D056912	17
D057049	7
D057092	64
D057130	15
D057135	211
D057180	44
D057765	19
D057826	2
D058065	3
D058088	1
D058186	44
D058456	2
D058496	3
D059226	840
D059268	7
D059352	200
D059373	2
D059407	1
D059413	3
D060585	1
D060737	4
D060831	1
D061205	4
D061686	9
D062025	13
D064420	18
D065227	2
D065306	16
D065446	5
D065626	344
D065631	70
D065632	1
D065768	18
D065886	7
SDI0168	3
	192
