year	n_new_gene_trait_associations	n_cumulative_gene_trait_associations	n_new_possible_gensup_ti	n_cumulative_possible_gensup_ti
2005	1	1	4	4
2006	3	4	9	13
2007	71	75	122	135
2008	196	271	401	536
2009	275	546	682	1218
2010	621	1167	1154	2372
2011	641	1808	1542	3914
2012	713	2521	1748	5662
2013	783	3304	1743	7405
2014	606	3910	949	8354
2015	1049	4959	1561	9915
2016	3694	8653	5966	15881
2017	2109	10762	3141	19022
2018	24630	35392	20979	40001
2019	5124	40516	4555	44556
2020	13236	53752	16561	61117
2021	11293	65045	13624	74741
2022	1158	66203	1448	76189
